customer_id,first_name,last_name,gender,past_3_years_bike_related_purchases,DOB,job_title,job_industry_category,wealth_segment,deceased_indicator,owns_car,tenure,clusters,RFM_Score,customer_profile
1.0,Laraine,Medendorp,Female,93.0,1953-10-12,Executive Secretary,Health,Mass Customer,N,Yes,11.0,0,7,High-Mid Value
2.0,Eli,Bockman,Male,81.0,1980-12-16,Administrative Officer,Financial Services,Mass Customer,N,Yes,16.0,0,10,Mid-Low Value
4.0,Talbot,,Male,33.0,1961-10-03,,IT,Mass Customer,N,No,7.0,0,11,Low Value
5.0,Sheila-kathryn,Calton,Female,56.0,1977-05-13,Senior Editor,,Affluent Customer,N,Yes,8.0,0,9,Mid-Low Value
6.0,Curr,Duckhouse,Male,35.0,1966-09-16,,Retail,High Net Worth,N,Yes,13.0,0,9,Mid-Low Value
7.0,Fina,Merali,Female,6.0,1976-02-23,,Financial Services,Affluent Customer,N,Yes,11.0,0,11,Low Value
8.0,Rod,Inder,Male,31.0,1962-03-30,Media Manager I,,Mass Customer,N,No,7.0,0,4,High Value
9.0,Mala,Lind,Female,97.0,1973-03-10,Business Systems Development Analyst,Argiculture,Affluent Customer,N,Yes,8.0,0,9,Mid-Low Value
11.0,Uriah,Bisatt,Male,99.0,1954-04-30,,Property,Mass Customer,N,No,9.0,0,6,High-Mid Value
12.0,Sawyere,Flattman,Male,58.0,1994-07-21,Nuclear Power Engineer,Manufacturing,Mass Customer,N,No,8.0,0,8,Mid Value
13.0,Gabriele,Norcross,Male,38.0,1955-02-15,Developer I,Financial Services,High Net Worth,N,Yes,8.0,0,8,Mid Value
14.0,Rayshell,Kitteman,Female,85.0,1983-03-25,Account Executive,Financial Services,Affluent Customer,N,No,6.0,0,8,Mid Value
15.0,Erroll,Radage,Male,91.0,2000-07-13,Junior Executive,Manufacturing,Mass Customer,N,No,1.0,0,8,Mid Value
16.0,Harlin,Parr,Male,38.0,1977-02-27,Media Manager IV,,Mass Customer,N,Yes,18.0,0,9,Mid-Low Value
17.0,Heath,Faraday,Male,57.0,1962-03-19,Sales Associate,,Affluent Customer,N,Yes,15.0,0,8,Mid Value
18.0,Marjie,Neasham,Female,79.0,1967-07-06,Professor,,Affluent Customer,N,No,11.0,0,9,Mid-Low Value
19.0,Sorcha,Keyson,Female,76.0,2001-04-15,Geological Engineer,Manufacturing,High Net Worth,N,No,1.0,0,10,Mid-Low Value
20.0,Basile,Firth,Male,72.0,1980-08-13,Project Manager,Manufacturing,Mass Customer,N,No,11.0,0,6,High-Mid Value
21.0,Mile,Cammocke,Male,74.0,1980-09-20,Safety Technician I,Manufacturing,Affluent Customer,N,Yes,16.0,0,5,High-Mid Value
24.0,Kim,Skpsey,Female,55.0,1977-12-03,Research Assistant I,Argiculture,Mass Customer,N,Yes,15.0,1,7,High-Mid Value
25.0,Geoff,Assaf,Male,72.0,1976-12-02,Accounting Assistant III,Financial Services,Mass Customer,N,Yes,21.0,1,5,High-Mid Value
